,name,label
0,OxPnZzn1_L8_000883.mp4,scuba diving
1,snh7E7llb48_000070.mp4,dog bow-wow
2,eNb_niqtGeU_000177.mp4,yodelling
3,xXaVc4YqBNI_000018.mp4,playing bongo
4,qTRtT9yDl3s_000319.mp4,playing double bass
5,4e8Cah6wrvs_000056.mp4,playing synthesizer
6,1msyXyqRvpY_000000.mp4,people screaming
7,xEJFlSm1Rho_000010.mp4,people screaming
8,zhEMnI4WFcM_000405.mp4,wood thrush calling
9,acXGvTAOKx0_000115.mp4,fire crackling
10,LhicdC_0z18_000030.mp4,toilet flushing
11,FGJQ3KC-Geo_000110.mp4,chainsawing trees
12,tt0zUxL0eEQ_000080.mp4,sheep bleating
13,wHnLZ7rK33Q_000184.mp4,opening or closing car electric windows
14,SPiCJj-DN8M_000027.mp4,mouse squeaking
15,FU5ITRh0Dio_000075.mp4,playing timpani
16,Xb_qG0_1FvE_000030.mp4,playing electric guitar
17,efZe222DfUE_000080.mp4,orchestra
18,tbenIhQ9sMg_000069.mp4,eletric blender running
19,HYvmx_0U58Q_000052.mp4,playing bass drum
20,RxOlzFa_DJk_000098.mp4,people booing
21,BwCTMWNbOgg_000133.mp4,"heart sounds, heartbeat"
22,eD1iCCmpwJI_000050.mp4,mouse pattering
23,CkZDZythXFc_000032.mp4,skiing
24,cmx6LrW2hYc_000152.mp4,playing harpsichord
25,u7qti8R93Xc_000030.mp4,people whistling
26,-2Fbw2plADY_000030.mp4,people whispering
27,he3bYB8MKbU_000234.mp4,playing erhu
28,1JWJSFMGrN4_000030.mp4,male singing
29,SiRaK8mLvTQ_000082.mp4,horse neighing
30,UyHQnqefQf8_000190.mp4,people clapping
31,SF6uPNllghA_000030.mp4,playing harpsichord
32,RKy7wBa2k6Y_000107.mp4,hail
33,1Apm_RvTYaM_000023.mp4,lighting firecrackers
34,FX07iZ_Q9Zw_000030.mp4,cat meowing
35,zhd8BEyq7KM_000011.mp4,dog growling
36,258OgzS1YJQ_000172.mp4,playing bassoon
37,-A0iftflme4_000044.mp4,rapping
38,kJ9_4aHn2i8_000001.mp4,dog growling
39,WGaAaenMIes_000000.mp4,car engine knocking
40,fO5iMURwOdw_000152.mp4,"playing steel guitar, slide guitar"
41,XPxws_mLdfU_000008.mp4,mouse clicking
42,roLyaJegFg0_000037.mp4,airplane
43,DeKUkj5QAtY_000001.mp4,elk bugling
44,Js6T3kweDmc_000474.mp4,firing muskets
45,doiynMzZ8AY_000003.mp4,playing glockenspiel
46,v7gVtJ89X10_000227.mp4,"electric shaver, electric razor shaving"
47,mDi0wj71mp0_000002.mp4,playing badminton
48,kXGCbqFULmE_000070.mp4,printer printing
49,PHpMnznGxb0_000051.mp4,playing tambourine
50,u5lxV2kZvs8_000037.mp4,crow cawing
51,xwFLpeg8v_g_000070.mp4,skateboarding
52,QtqkNEifIbU_000072.mp4,playing volleyball
53,QpSwZSHCpgQ_000388.mp4,people finger snapping
54,xFDMo5dVjpg_000508.mp4,rope skipping
55,9mfkYtQjThQ_000302.mp4,elk bugling
56,6jy7Ke-65QY_000156.mp4,hammering nails
57,87wDtsSqNJw_000145.mp4,playing guiro
58,ibSs8fg97xg_000108.mp4,volcano explosion
59,V0xIdahNcnk_000210.mp4,goose honking
60,Uem7FJ9CYws_000010.mp4,playing harmonica
61,A60MrQpAqAg_000030.mp4,playing trombone
62,Q1HSsBQiqww_000124.mp4,playing vibraphone
63,FwR49aslFxc_000300.mp4,people sniggering
